ts.ts/tt.tt,ID
0.08824,34BS_01
0.73737,34BS_01
1.01010,34BS_01
1.01010,34BS_01
0.56566,34BS_01
0.00000,34BS_01
0.42424,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
0.65657,34BS_01
0.42424,34BS_01
0.28283,34BS_01
0.04040,34BS_01
0.40404,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
0.63636,34BS_01
0.00000,34BS_01
0.00000,34BS_01
0.00000,34BS_01
0.23232,34BS_01
0.47475,34BS_01
0.07071,34BS_01
1.01010,34BS_01
1.01010,34BS_01
0.92929,34BS_01
1.01010,34BS_01
1.01010,34BS_01
1.01010,34BS_01
0.16162,34BS_01
0.00000,34BS_01
0.00000,34BS_01
0.19718,34BS_02
1.01010,34BS_02
1.01010,34BS_02
0.58586,34BS_02
0.00000,34BS_02
0.00000,34BS_02
0.36364,34BS_02
0.88889,34BS_02
1.01010,34BS_02
1.01010,34BS_02
1.01010,34BS_02
1.01010,34BS_02
1.01010,34BS_02
0.19192,34BS_02
0.15152,34BS_02
0.00000,34BS_02
0.11111,34BS_02
1.01010,34BS_02
1.01010,34BS_02
1.01010,34BS_02
1.01010,34BS_02
0.55556,34BS_02
0.00000,34BS_02
0.00000,34BS_02
0.23232,34BS_02
0.83838,34BS_02
0.10101,34BS_02
0.00000,34BS_02
0.00000,34BS_02
0.00000,34BS_02
0.13043,34BS_03
0.91919,34BS_03
0.57576,34BS_03
0.00000,34BS_03
0.00000,34BS_03
0.69697,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
1.01010,34BS_03
0.37374,34BS_03
0.53535,34BS_03
1.01010,34BS_03
1.01010,34BS_03
0.87879,34BS_03
0.12121,34BS_03
0.00000,34BS_03
0.00000,34BS_03
0.40404,34BS_03
1.01010,34BS_03
0.05051,34BS_03
0.00000,34BS_03
0.00000,34BS_03
0.91919,34BS_03
1.01010,34BS_03
1.01010,34BS_03
0.15152,34BS_03
0.00000,34BS_03
0.00000,34BS_03
0.08081,34BS_04
1.01010,34BS_04
1.01010,34BS_04
0.56566,34BS_04
0.00000,34BS_04
0.45455,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
1.01010,34BS_04
0.92929,34BS_04
0.25253,34BS_04
0.13131,34BS_04
0.17172,34BS_04
0.73737,34BS_04
1.01010,34BS_04
0.91919,34BS_04
0.16162,34BS_04
0.00000,34BS_04
0.00000,34BS_04
0.00000,34BS_04
0.00000,34BS_04
0.24242,34BS_04
0.64646,34BS_04
0.00000,34BS_04
0.00000,34BS_04
0.00000,34BS_04
0.06061,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.19192,34BS_05
1.01010,34BS_05
1.01010,34BS_05
0.94949,34BS_05
0.01010,34BS_05
0.86869,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
0.50505,34BS_05
0.14141,34BS_05
1.01010,34BS_05
1.01010,34BS_05
1.01010,34BS_05
0.55556,34BS_05
0.66667,34BS_05
0.45455,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.03030,34BS_05
1.01010,34BS_05
1.01010,34BS_05
0.91919,34BS_05
0.40404,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.00000,34BS_05
0.07595,34BS_06
0.83838,34BS_06
1.01010,34BS_06
0.56566,34BS_06
0.00000,34BS_06
0.43434,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
1.01010,34BS_06
0.64646,34BS_06
0.16162,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.00000,34BS_06
0.06061,34BS_07
0.00000,34BS_07
0.74747,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
0.72727,34BS_07
0.19192,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
0.85859,34BS_07
0.07071,34BS_07
0.00000,34BS_07
0.62626,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
1.01010,34BS_07
0.55556,34BS_07
0.00000,34BS_07
0.00000,34BS_07
0.00000,34BS_07
0.00000,34BS_07
0.00000,34BS_07
0.22222,34BS_08
0.28283,34BS_08
1.01010,34BS_08
0.56566,34BS_08
0.00000,34BS_08
0.43434,34BS_08
1.01010,34BS_08
1.01010,34BS_08
1.01010,34BS_08
1.01010,34BS_08
1.01010,34BS_08
0.94949,34BS_08
0.00000,34BS_08
0.00000,34BS_08
0.09091,34BS_08
0.58586,34BS_08
0.00000,34BS_08
0.00000,34BS_08
0.24242,34BS_08
1.01010,34BS_08
0.38384,34BS_08
0.00000,34BS_08
0.00000,34BS_08
0.06061,34BS_09
0.00000,34BS_09
0.76768,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
1.01010,34BS_09
0.51515,34BS_09
0.39394,34BS_09
1.01010,34BS_09
1.01010,34BS_09
0.87879,34BS_09
0.11111,34BS_09
0.00000,34BS_09
0.00000,34BS_09
0.68687,34BS_09
1.01010,34BS_09
0.05051,34BS_09
0.00000,34BS_09
0.00000,34BS_09
0.89899,34BS_09
1.01010,34BS_09
1.01010,34BS_09
0.15152,34BS_09
0.00000,34BS_09
0.00000,34BS_09
1.00000,34B_11
0.10101,34B_11
1.01010,34B_11
1.01010,34B_11
0.56566,34B_11
0.00000,34B_11
0.07071,34B_11
1.01010,34B_11
1.01010,34B_11
1.01010,34B_11
0.66667,34B_11
0.00000,34B_11
0.22222,34B_11
0.58586,34B_11
0.00000,34B_11
0.00000,34B_11
0.00000,34B_11
0.00000,34B_11
0.00000,34B_11
0.11765,34B_133
0.38384,34B_133
1.01010,34B_133
1.01010,34B_133
1.01010,34B_133
0.55556,34B_133
0.00000,34B_133
0.30303,34B_133
1.01010,34B_133
1.01010,34B_133
1.01010,34B_133
0.27273,34B_133
0.00000,34B_133
0.27273,34B_133
0.58586,34B_133
0.00000,34B_133
0.26263,34B_133
0.58586,34B_133
0.00000,34B_133
0.00000,34B_133
0.11111,34B_133
1.01010,34B_133
0.38384,34B_133
0.00000,34B_133
0.00000,34B_133
0.18889,34B_158
0.57576,34B_158
0.00000,34B_158
0.13131,34B_158
1.01010,34B_158
0.93939,34B_158
0.34343,34B_158
0.14141,34B_158
0.16162,34B_158
0.41414,34B_158
0.87879,34B_158
0.00000,34B_158
0.00000,34B_158
0.00000,34B_158
0.00000,34B_158
0.57576,34B_158
1.01010,34B_158
0.49495,34B_158
0.00000,34B_158
0.00000,34B_158
0.00000,34B_158
0.07595,34B_170
0.65657,34B_170
1.01010,34B_170
1.01010,34B_170
1.01010,34B_170
0.55556,34B_170
